Id,Time,Longitude,Latitude,type
0,6,8833.87943536,3927.46189062,device
1,6,4354.26625682,5774.3690699,device
2,6,5432.50058218,5967.99666157,device
3,6,6107.24960722,6010.54961163,device
4,6,4837.57077492,2234.12520945,device
5,6,1417.10676725,1116.51157197,device
6,6,2471.71700611,5860.53170479,device
7,6,8063.99439558,3147.35046532,device
8,6,3218.56069951,8822.33468742,device
9,6,1430.12847609,7186.85910012,device
10,6,8000.28932177,7524.09158758,device
11,6,5812.14538104,7182.90459361,device
12,6,6499.09774026,7065.13299224,device
13,6,251.833070973,5950.28835048,device
14,6,8741.00815832,1060.31123865,device
15,6,2486.49361408,1822.1322991,device
16,6,5669.52238507,6346.24978181,device
17,6,7022.9268655,1977.62700781,device
18,6,2816.67349204,7074.05411387,device
19,6,3648.3765828,1782.65857661,device
20,6,4952.5460678,3038.77822876,device
21,6,7483.08388478,1716.85956564,device
22,6,3325.64431088,5269.10841703,device
23,6,5877.94561587,4251.46475454,device
24,6,6146.60456509,6752.64718949,device
25,6,7613.32195467,4812.07620607,device
26,6,7291.71863336,7698.55004343,device
27,6,4769.56335219,5627.38194369,device
28,6,5873.00046593,3737.439594,device
29,6,5994.48905239,4516.03344932,device
30,6,4911.53285321,7520.93308937,device
31,6,7625.41143881,2292.49272997,device
32,6,4110.30737676,613.934696026,device
33,6,1459.45412972,3701.77052663,device
34,6,4492.15819044,3981.03364959,device
35,6,852.890335945,4269.70119006,device
36,6,8891.40927094,1610.7008364,device
37,6,4291.72366981,6473.2269611,device
38,6,4832.74170016,4676.97470546,device
39,6,4145.76702077,2888.194649,device
40,6,7188.68657956,4218.19199626,device
41,6,1644.64424463,8063.66258336,device
42,6,4631.41278274,1910.20269905,device
43,6,3707.01390481,5586.51850747,device
44,6,4629.7385862,7608.95806464,device
45,6,2426.09458853,5350.47487155,device
46,6,2772.03915588,3025.51720738,device
47,6,7567.02302208,6951.65051616,device
48,6,4120.6678719,846.520448531,device
49,6,4515.4720412,5118.74559432,device
50,6,6781.98973026,4210.53892047,device
51,6,6018.22735,7881.34187084,device
52,6,8551.3226184,3990.79155738,device
53,6,6791.23411343,2352.85767794,device
54,6,4274.67110509,1369.87076379,device
55,6,7804.58983746,2220.48798823,device
56,6,7531.71652119,519.134162389,device
57,6,4751.69935511,4570.36819129,device
58,6,7369.11465151,2488.42870953,device
59,6,6253.18384551,4773.02224471,device
60,6,7553.03242213,8452.90805198,device
61,6,6512.31486932,4810.99555529,device
62,6,4520.43553963,4856.0328977,device
63,6,5286.32764424,3799.29407032,device
64,6,5944.23458925,8299.5968831,device
65,6,6869.70417253,3227.60308446,device
66,6,1442.35183498,1814.37772726,device
67,6,4417.04641255,6441.77313296,device
68,6,6287.55469835,5216.04027175,device
69,6,5515.8808693,4254.55546174,device
70,6,5035.95968412,3099.17955511,device
71,6,5322.12563435,4103.54344216,device
72,6,4767.10296254,5204.5029261,device
73,6,4818.82283861,4303.32913575,device
74,6,7955.67231249,6123.91719908,device
75,6,1454.71114141,1462.60932826,device
76,6,4573.15619279,2421.8910935,device
77,6,2580.95053452,7664.77651336,device
78,6,7305.60725454,6662.16848509,device
79,6,6152.73469313,4952.79974539,device
80,6,5377.69086593,7758.58660222,device
81,6,1893.78392307,2867.17464583,device
82,6,3014.43843614,2361.60623323,device
83,6,9604.09075756,4131.75256953,device
84,6,7127.81645127,7000.54264514,device
85,6,4495.74361125,3050.54622267,device
86,6,3282.02556302,7060.49097865,device
87,6,6063.05395967,7120.67364036,device
88,6,6179.72246258,4714.27191048,device
89,6,3186.59590857,1084.44022111,device
90,6,5891.56064513,7683.8962096,device
91,6,4736.02577931,6550.20593371,device
92,6,7533.15459151,2975.86716525,device
93,6,8514.21963215,1091.79601054,device
94,6,7668.34091912,7123.06891471,device
95,6,2803.91660341,3050.97584967,device
96,6,6911.72161059,3017.37495809,device
97,6,4410.22664252,8342.15169184,device
98,6,8006.12355636,4884.22614615,device
99,6,4536.55622977,4888.30424536,device
100,6,2953.29161881,5090.82281766,device
101,6,7668.69503166,6622.37379075,device
102,6,7861.81584307,7022.43404184,device
103,6,4208.72195073,2197.77286353,device
104,6,2800.67922762,3328.14439043,device
105,6,3132.03197503,3741.96738289,device
106,6,3762.35511249,5930.715555,device
107,6,5921.10781231,2407.61135871,device
108,6,3425.89119781,6242.42348634,device
109,6,1981.60916447,4307.49427354,device
110,6,7054.38579047,5173.10593314,device
111,6,3545.10377286,4441.41509419,device
112,6,3742.85632929,5895.17031573,device
113,6,6512.91339342,8117.73736079,device
114,6,2008.15111277,2045.83749304,device
115,6,7796.93895536,5101.74413302,device
116,6,-148.718655904,2539.98474626,device
117,6,6188.81120954,5145.13830061,device
118,6,4578.68976846,5545.32960877,device
119,6,959.447187803,2021.24123033,device
120,6,3982.41486707,6006.92336449,device
121,6,7161.10771845,5889.24143863,device
122,6,6441.20379636,3717.01118339,device
123,6,6426.63236418,4493.11354878,device
124,6,4342.98318446,2250.53437177,device
125,6,3033.32100873,3536.39748105,device
126,6,4162.98300237,2867.07395315,device
127,6,6905.95817183,5733.49988672,device
128,6,5127.07915932,1510.02326874,device
129,6,7381.79858432,4593.99186158,device
130,6,3898.45179638,3740.37214157,device
131,6,1706.79539338,6875.77512896,device
132,6,2484.0182617,8481.44607575,device
133,6,3633.62813513,6966.90555964,device
134,6,5595.25144941,6213.71097338,device
135,6,4607.67992763,3653.09611391,device
136,6,3920.52972781,7362.90175929,device
137,6,7823.55044494,7249.37657661,device
138,6,2070.42796685,4048.63162607,device
139,6,1000.09488303,6595.9157554,device
140,6,6949.21528504,2211.29254075,device
141,6,8389.69835637,3308.2904606,device
142,6,5044.64850618,8663.4691311,device
143,6,6604.33474096,6352.68589633,device
144,6,3094.18460126,6878.04897327,device
145,6,7250.93126885,5870.1107885,device
146,6,3815.11828939,5870.04044814,device
147,6,2790.33923428,2803.38245266,device
148,6,2527.75038405,9205.29880765,device
149,6,4779.1218625,2023.54856552,device
150,6,4984.70523733,800.339362344,device
151,6,4472.42971623,7131.81149878,device
152,6,2394.70509179,1892.39897285,device
153,6,3480.61204151,3726.39176149,device
154,6,1637.04726529,4823.119004,device
155,6,407.78548192,9586.60599558,device
156,6,4723.77341225,3305.87986882,device
157,6,4414.79530977,3103.33121887,device
158,6,5986.28991629,9133.191218,device
159,6,4026.29680477,5862.40176949,device
160,6,5121.42728655,4069.5412984,device
161,6,7698.107626,3763.52227798,device
162,6,5227.43304015,3029.85671574,device
163,6,7109.62284545,8472.62654246,device
164,6,2432.65022911,2764.30452704,device
165,6,5370.38647961,4830.0393718,device
166,6,771.117692188,5554.38331355,device
167,6,3497.85682111,7222.84399336,device
168,6,7865.77577959,5130.28878826,device
169,6,7786.84752248,2573.71610473,device
170,6,5764.61433112,8245.68677666,device
171,6,5319.92033979,4036.12216816,device
172,6,6076.36512963,5581.29847744,device
173,6,1900.82688121,1690.09788952,device
174,6,1625.81006466,8566.13196111,device
175,6,7930.36082511,2650.4310999,device
176,6,4756.40457547,3176.88028234,device
177,6,5809.366025,6458.90895165,device
178,6,7847.74990814,8263.31501184,device
179,6,1659.86632473,6196.6043008,device
180,6,6613.57855086,9123.96075756,device
181,6,5653.9234241,3231.08270127,device
182,6,5078.22249655,2258.20826558,device
183,6,8937.5176236,6194.57750409,device
184,6,5500.11722484,595.417306386,device
185,6,6135.4381735,5661.88614058,device
186,6,6167.65853742,3608.07139815,device
187,6,1934.66382063,5469.95493698,device
188,6,8435.1753086,3748.51768819,device
189,6,4351.37665258,2722.60391145,device
190,6,6554.64635953,6364.82150721,device
191,6,2968.14463743,5492.4335917,device
192,6,3297.14861403,3386.42740891,device
193,6,527.488183509,9136.39801648,device
194,6,3428.35478281,6202.99326448,device
195,6,3846.27101335,7652.70772706,device
196,6,5040.57829042,3940.40117249,device
197,6,198.310910474,2165.32940821,device
198,6,4517.31552883,3654.31179362,device
199,6,5705.2845657,2638.49040322,device
200,6,5043.34683572,4622.31101466,device
201,6,964.146716401,2178.88505377,device
202,6,7646.19765812,4068.00780685,device
203,6,6110.40229917,5035.73650829,device
204,6,6269.14215908,7445.62799256,device
205,6,2875.38416906,3203.65248706,device
206,6,6607.93561562,5596.79165525,device
207,6,7331.41711889,5255.21256306,device
208,6,3826.34338513,4911.00011366,device
209,6,6722.54457143,6588.72309236,device
210,6,3986.71556327,9029.68359857,device
211,6,3496.86372935,5298.67890666,device
212,6,8423.52018169,2186.88863009,device
213,6,3725.92094391,5181.87101868,device
214,6,7393.49426318,3392.01859766,device
215,6,4104.41707917,7053.30615548,device
216,6,1183.07642882,7435.41383162,device
217,6,3170.50789578,2433.77456917,device
218,6,3670.46729134,4123.687627,device
219,6,5408.51122348,4004.75672927,device
220,6,5118.86341291,4577.99728986,device
221,6,6938.31221605,2267.03110382,device
222,6,7850.53523011,949.55130972,device
223,6,4187.71728899,6992.11115653,device
224,6,6939.64416655,1174.43096129,device
225,6,1724.59250917,2456.04463938,device
226,6,4698.06017692,6773.87128239,device
227,6,8268.68235444,1141.1579556,device
228,6,5155.54916878,5228.8712325,device
229,6,3359.23480297,4759.2127225,device
230,6,5758.19877535,8637.77510784,device
231,6,6606.97309712,5286.49729517,device
232,6,2084.94338341,6190.49546686,device
233,6,9169.22730088,7501.17199155,device
234,6,6000.22847524,6100.76564437,device
235,6,984.469342239,1047.42913057,device
236,6,9095.35826608,3312.73551052,device
237,6,9208.6818067,7176.77678575,device
238,6,858.422681101,9072.68485197,device
239,6,2162.56026971,3908.90965597,device
240,6,3967.08028086,3685.53367826,device
241,6,280.307016325,5703.79807646,device
242,6,5258.22955727,5083.64787182,device
243,6,5586.49716068,2622.57768118,device
244,6,4735.85835845,3245.80398859,device
245,6,1491.69282091,7716.07220236,device
246,6,6298.12181302,2350.81929284,device
247,6,3686.60715913,6630.30513696,device
248,6,5274.10920281,7296.38742935,device
249,6,5753.0476014,2428.69560816,device
250,6,2157.76958963,4165.07140602,device
251,6,1913.99726652,2921.95428897,device
252,6,5061.88328108,3462.41115132,device
253,6,9204.70141452,4807.69206987,device
254,6,8050.31402427,2896.06488068,device
255,6,3159.38212646,7013.51685529,device
256,6,5612.02520931,4619.36716671,device
257,6,3864.65848713,1958.73709463,device
258,6,2202.4722166,6941.49612573,device
259,6,8329.18204195,4928.98241739,device
260,6,3411.24987678,7006.73022572,device
261,6,8194.16076582,9293.37915505,device
262,6,7511.08212526,1927.2585994,device
263,6,6987.24545887,4107.75301159,device
264,6,5203.8632484,3452.48154325,device
265,6,2182.38094521,4878.62866685,device
266,6,102.500889375,7260.59317179,device
267,6,1879.65368974,7355.25438107,device
268,6,1418.22886086,6751.66417935,device
269,6,6790.96440348,966.636006225,device
270,6,5100.46178313,2926.90962507,device
271,6,5277.39482864,9562.29771798,device
272,6,3495.17810431,7894.24110915,device
273,6,7041.80357638,7058.45621867,device
274,6,8169.64643472,7944.8803176,device
275,6,5296.72570581,5945.57616658,device
276,6,7628.38550329,5633.92324998,device
277,6,5105.81237032,6373.2458477,device
278,6,4407.37198654,4509.08824484,device
279,6,7191.59509964,5730.92281851,device
280,6,5748.41129064,3794.05288556,device
281,6,8769.35787247,5259.53306759,device
282,6,6537.57608352,7284.71894478,device
283,6,3226.29326324,6340.33163292,device
284,6,6458.58446494,8893.20963224,device
285,6,7564.45338917,4396.75487683,device
286,6,3494.68641903,6107.33700802,device
287,6,2099.55152522,981.177804107,device
288,6,2467.83234085,2631.87562431,device
289,6,6124.30224688,5224.22576966,device
290,6,6986.41870498,3332.48837043,device
291,6,3300.14594493,2186.02643924,device
292,6,5987.97093019,3934.59660565,device
293,6,2662.05326286,6726.13093808,device
294,6,3327.11078091,5987.94165824,device
295,6,2272.93350598,2390.66052274,device
296,6,2980.96118895,4635.85468624,device
297,6,2432.58545971,2752.42010654,device
298,6,8883.29901127,2434.47915083,device
299,6,7930.56716034,3871.0322133,device
300,6,4421.62027201,8314.60119886,device
301,6,4975.38725999,8393.60844972,device
302,6,2535.58783716,4481.79029609,device
303,6,7109.21068641,6180.9034814,device
304,6,4133.87987585,2372.67533661,device
305,6,5845.75819847,9513.78074878,device
306,6,6625.02874865,7790.68270247,device
307,6,4962.8847627,6576.0844106,device
308,6,3714.36830263,1734.04149603,device
309,6,3572.26718384,3517.06247136,device
310,6,4397.57507978,4585.23990377,device
311,6,2250.51146417,4155.05131465,device
312,6,5958.99253221,1719.2411295,device
313,6,7513.23046055,8146.6216599,device
314,6,4538.67508411,4572.35044206,device
315,6,3744.87322868,2985.42712541,device
316,6,3082.97685004,6307.12701865,device
317,6,7923.13378925,6149.95791632,device
318,6,4840.84431192,3729.58901477,device
319,6,8830.59018605,2665.41687163,device
320,6,6765.60480951,8859.31852508,device
321,6,953.776020403,6767.86696841,device
322,6,3692.85289555,3958.40012942,device
323,6,5919.57395584,5033.16553785,device
324,6,5027.6033186,4789.02669236,device
325,6,3241.86642751,2044.38141265,device
326,6,797.409147057,7888.82979943,device
327,6,5537.76858124,5191.74763062,device
328,6,6651.79964416,1500.61963231,device
329,6,4887.3126942,6727.89966563,device
330,6,1252.43855768,5712.74465365,device
331,6,3950.35131719,4436.47009654,device
332,6,6952.56379571,5785.1026584,device
333,6,6836.18899751,7619.98925505,device
334,6,4507.86292169,7525.47896562,device
335,6,7529.26192861,3458.38482302,device
336,6,7127.21531385,2622.67831387,device
337,6,8285.77286359,7949.85633939,device
338,6,4604.09425625,3364.66120521,device
339,6,4476.91999041,5541.21972299,device
340,6,5862.96133005,2620.08365161,device
341,6,5854.93438538,96.5024807845,device
342,6,9825.88170837,6983.10476233,device
343,6,8504.93941375,2525.37667455,device
