Time,Source,Target
5,1119,0
5,1127,1
5,1000,2
5,1116,3
5,1064,4
5,1104,5
5,1060,6
5,1162,7
5,1038,9
5,1169,10
5,1020,11
5,1107,12
5,1001,13
5,1112,14
5,1002,15
5,1109,16
5,1048,17
5,1003,18
5,1004,19
5,1057,20
5,1048,21
5,1076,22
5,1147,23
5,1000,24
5,1153,25
5,1018,26
5,1183,27
5,1134,28
5,1005,29
5,1020,30
5,1193,31
5,1006,32
5,1044,33
5,1158,34
5,1007,35
5,1047,37
5,1117,38
5,1067,39
5,1162,40
5,1035,41
5,1008,42
5,1127,43
5,1129,44
5,1009,45
5,1023,46
5,1190,47
5,1006,48
5,1014,49
5,1153,50
5,1107,51
5,1167,52
5,1090,53
5,1184,54
5,1178,55
5,1010,56
5,1088,57
5,1156,58
5,1095,59
5,1011,60
5,1095,61
5,1111,62
5,1115,63
5,1012,65
5,1013,66
5,1014,67
5,1128,68
5,1103,69
5,1110,70
5,1015,71
5,1016,72
5,1092,73
5,1039,74
5,1104,75
5,1174,76
5,1163,77
5,1075,78
5,1019,79
5,1020,80
5,1044,81
5,1022,82
5,1017,83
5,1018,84
5,1126,85
5,1043,86
5,1145,87
5,1019,88
5,1168,89
5,1020,90
5,1021,91
5,1160,92
5,1112,93
5,1190,94
5,1012,96
5,1077,97
5,1118,98
5,1127,99
5,1026,100
5,1152,101
5,1190,102
5,1022,103
5,1023,104
5,1137,105
5,1024,106
5,1025,107
5,1159,108
5,1034,109
5,1128,110
5,1114,111
5,1026,112
5,1164,113
5,1002,114
5,1118,115
5,1079,117
5,1109,118
5,1100,120
5,1191,121
5,1157,123
5,1027,124
5,1131,125
5,1028,126
5,1029,127
5,1030,128
5,1121,129
5,1092,130
5,1038,131
5,1082,132
5,1171,133
5,1031,134
5,1092,135
5,1043,136
5,1190,137
5,1146,138
5,1032,139
5,1193,140
5,1054,141
5,1175,142
5,1045,143
5,1113,144
5,1191,145
5,1100,146
5,1131,147
5,1033,148
5,1174,149
5,1109,151
5,1002,152
5,1066,153
5,1034,154
5,1035,155
5,1092,156
5,1067,157
5,1058,158
5,1036,159
5,1015,160
5,1041,161
5,1110,162
5,1107,163
5,1195,165
5,1007,166
5,1106,167
5,1054,169
5,1037,170
5,1158,171
5,1021,172
5,1013,173
5,1099,174
5,1054,175
5,1103,176
5,1031,177
5,1038,179
5,1149,180
5,1015,181
5,1008,182
5,1039,183
5,1093,185
5,1040,186
5,1041,188
5,1057,189
5,1081,190
5,1062,191
5,1189,192
5,1143,193
5,1042,194
5,1043,195
5,1115,196
5,1126,198
5,1174,199
5,1117,200
5,1044,201
5,1153,202
5,1045,203
5,1107,204
5,1131,205
5,1045,206
5,1191,207
5,1026,208
5,1063,209
5,1046,210
5,1165,212
5,1127,213
5,1153,214
5,1047,215
5,1143,216
5,1176,217
5,1066,218
5,1015,219
5,1158,220
5,1156,221
5,1049,222
5,1043,223
5,1048,224
5,1130,225
5,1065,226
5,1049,227
5,1117,228
5,1114,229
5,1058,230
5,1029,231
5,1148,232
5,1132,233
5,1000,234
5,1050,235
5,1119,236
5,1051,237
5,1091,239
5,1052,240
5,1001,241
5,1088,242
5,1083,243
5,1092,244
5,1185,245
5,1087,246
5,1159,247
5,1145,248
5,1083,249
5,1053,250
5,1130,251
5,1092,252
5,1188,253
5,1054,254
5,1106,255
5,1015,256
5,1027,257
5,1078,258
5,1070,259
5,1106,260
5,1156,262
5,1153,263
5,1126,264
5,1146,265
5,1055,268
5,1056,269
5,1057,270
5,1058,271
5,1129,272
5,1059,273
5,1135,274
5,1000,275
5,1121,276
5,1021,277
5,1088,278
5,1063,279
5,1138,280
5,1188,281
5,1018,282
5,1150,283
5,1139,284
5,1118,285
5,1060,286
5,1102,287
5,1061,288
5,1183,289
5,1162,290
5,1189,291
5,1195,292
5,1078,293
5,1159,294
5,1061,295
5,1178,299
5,1077,300
5,1175,301
5,1062,302
5,1063,303
5,1064,304
5,1107,306
5,1065,307
5,1184,308
5,1052,309
5,1092,310
5,1146,311
5,1089,312
5,1125,313
5,1127,314
5,1067,315
5,1060,316
5,1039,317
5,1103,318
5,1041,319
5,1032,321
5,1066,322
5,1093,323
5,1079,324
5,1067,325
5,1143,326
5,1093,327
5,1109,329
5,1086,330
5,1092,331
5,1128,332
5,1059,333
5,1037,334
5,1068,335
5,1160,336
5,1135,337
5,1126,338
5,1087,340
5,1165,343
5,1005,344
5,1065,346
5,1069,348
5,1129,349
5,1163,350
5,1073,351
5,1121,352
5,1070,353
5,1088,354
5,1106,355
5,1000,356
5,1071,357
5,1072,358
5,1032,359
5,1121,360
5,1172,361
5,1042,363
5,1073,364
5,1116,365
5,1023,366
5,1004,367
5,1074,368
5,1172,370
5,1037,371
5,1017,372
5,1024,373
5,1026,374
5,1075,375
5,1195,376
5,1147,378
5,1076,379
5,1072,381
5,1117,382
5,1164,383
5,1077,384
5,1078,385
5,1024,386
5,1174,387
5,1064,388
5,1066,389
5,1051,391
5,1003,392
5,1140,393
5,1134,394
5,1079,395
5,1101,396
5,1080,397
5,1081,398
5,1082,399
5,1082,400
5,1041,401
5,1027,402
5,1083,403
5,1048,405
5,1153,406
5,1048,407
5,1127,408
5,1019,409
5,1084,410
5,1195,411
5,1116,413
5,1135,415
5,1059,416
5,1168,417
5,1025,418
5,1137,419
5,1145,420
5,1086,421
5,1131,422
5,1128,423
5,1085,424
5,1134,425
5,1172,426
5,1034,427
5,1156,428
5,1086,429
5,1087,430
5,1095,431
5,1059,432
5,1166,433
5,1041,434
5,1036,435
5,1088,436
5,1067,437
5,1089,438
5,1090,440
5,1183,441
5,1130,443
5,1091,445
5,1015,446
5,1126,447
5,1192,448
5,1124,449
5,1082,450
5,1099,452
5,1029,453
5,1101,455
5,1190,456
5,1092,457
5,1153,458
5,1013,459
5,1000,460
5,1026,461
5,1043,462
5,1071,463
5,1038,464
5,1093,465
5,1166,466
5,1094,468
5,1095,469
5,1175,471
5,1061,472
5,1063,473
5,1096,474
5,1157,476
5,1019,477
5,1167,478
5,1026,479
5,1074,480
5,1101,481
5,1099,482
5,1031,483
5,1089,484
5,1068,485
5,1097,486
5,1098,487
5,1151,488
5,1099,490
5,1100,491
5,1116,492
5,1146,494
5,1114,495
5,1107,496
5,1131,497
5,1101,498
5,1094,499
5,1063,500
5,1142,501
5,1165,502
5,1132,503
5,1002,504
5,1020,505
5,1051,506
5,1071,507
5,1019,509
5,1102,510
5,1179,511
5,1171,512
5,1103,514
5,1153,515
5,1060,516
5,1163,517
5,1190,518
5,1101,519
5,1158,520
5,1104,521
5,1105,522
5,1148,523
5,1116,524
5,1063,525
5,1107,526
5,1178,527
5,1000,528
5,1151,529
5,1124,530
5,1155,531
5,1106,532
5,1073,533
5,1041,534
5,1194,535
5,1106,537
5,1107,538
5,1176,539
5,1028,540
5,1026,541
5,1159,542
5,1122,543
5,1165,544
5,1151,545
5,1103,546
5,1108,547
5,1059,548
5,1111,549
5,1153,550
5,1058,551
5,1140,552
5,1008,553
5,1150,554
5,1080,555
5,1127,556
5,1013,557
5,1109,558
5,1180,560
5,1067,561
5,1033,562
5,1110,563
5,1111,564
5,1109,565
5,1112,566
5,1144,567
5,1059,568
5,1113,569
5,1160,570
