"cycle,"	"max_abw,"	coverage rate
0	2.465	0.465
1	2.58	0.455
2	2.76	0.463
3	2.76	0.474
4	2.76	0.488
5	2.76	0.502
6	2.84	0.515
7	2.91	0.528
8	2.955	0.536
9	2.985	0.545
10	3.005	0.552
11	3.005	0.558
12	3.01	0.568
13	3.035	0.584
14	3.05	0.591
15	3.075	0.599
16	3.075	0.601
17	3.115	0.604
18	3.115	0.608
19	3.14	0.609
20	3.14	0.614
21	3.15	0.619
22	3.165	0.623
23	3.17	0.625
24	3.195	0.628
25	3.195	0.624
26	3.2	0.633
27	3.2	0.633
28	3.2	0.633
29	3.225	0.639
30	3.225	0.639
31	3.225	0.639
32	3.245	0.639
33	3.255	0.639
34	3.255	0.641
35	3.255	0.645
36	3.27	0.645
37	3.28	0.645
38	3.29	0.651
39	3.31	0.651
40	3.31	0.651
41	3.315	0.654
42	3.33	0.654
43	3.33	0.656
44	3.365	0.659
45	3.395	0.662
46	3.4	0.665
47	3.4	0.666
48	3.42	0.671
49	3.42	0.674
50	3.435	0.679
51	3.445	0.679
52	3.45	0.681
53	3.45	0.684
54	3.45	0.684
55	3.45	0.686
56	3.46	0.687
57	3.47	0.688
58	3.47	0.689
59	3.48	0.689
60	3.48	0.69
61	3.48	0.693
62	3.48	0.694
63	3.48	0.694
64	3.48	0.694
65	3.485	0.695
66	3.485	0.696
67	3.49	0.696
68	3.49	0.696
69	3.49	0.696
70	3.5	0.696
71	3.5	0.696
72	3.51	0.692
73	3.51	0.696
74	3.525	0.696
75	3.525	0.7
76	3.535	0.7
77	3.535	0.702
78	3.535	0.702
79	3.545	0.705
80	3.555	0.705
81	3.555	0.707
82	3.565	0.707
83	3.575	0.707
84	3.575	0.71
85	3.58	0.711
86	3.58	0.711
87	3.59	0.713
88	3.59	0.715
89	3.595	0.715
90	3.605	0.715
91	3.605	0.716
92	3.61	0.716
93	3.61	0.717
94	3.63	0.719
95	3.63	0.719
96	3.65	0.719
97	3.65	0.721
98	3.65	0.722
99	3.665	0.725
100	3.665	0.726
101	3.69	0.726
102	3.69	0.73
103	3.69	0.731
104	3.7	0.731
105	3.7	0.732
106	3.715	0.733
107	3.72	0.736
108	3.72	0.738
109	3.72	0.738
110	3.72	0.74
111	3.725	0.74
112	3.725	0.74
113	3.74	0.741
114	3.74	0.744
115	3.745	0.744
116	3.75	0.745
117	3.77	0.745
118	3.78	0.747
119	3.78	0.748
120	3.79	0.749
121	3.79	0.751
122	3.79	0.752
123	3.795	0.754
124	3.805	0.755
125	3.805	0.756
126	3.81	0.757
127	3.815	0.758
128	3.815	0.76
129	3.815	0.761
130	3.815	0.761
131	3.825	0.761
132	3.825	0.762
133	3.825	0.762
134	3.825	0.763
135	3.825	0.763
136	3.825	0.763
137	3.825	0.763
138	3.835	0.764
139	3.835	0.765
140	3.845	0.765
141	3.855	0.765
142	3.855	0.767
143	3.855	0.767
144	3.855	0.767
145	3.865	0.767
146	3.865	0.769
147	3.875	0.769
148	3.875	0.771
149	3.875	0.771
150	3.885	0.772
151	3.885	0.773
152	3.885	0.773
153	3.895	0.774
154	3.895	0.775
155	3.905	0.776
156	3.905	0.776
157	3.92	0.777
158	3.92	0.777
159	3.93	0.777
160	3.945	0.779
161	3.945	0.779
162	3.955	0.782
163	3.955	0.785
164	3.97	0.788
165	3.97	0.789
166	3.97	0.789
167	3.99	0.791
168	3.99	0.791
169	4.005	0.791
170	4.005	0.788
171	4.015	0.793
172	4.015	0.794
173	4.015	0.798
174	4.025	0.799
175	4.035	0.801
176	4.035	0.803
177	4.055	0.803
178	4.055	0.803
179	4.055	0.803
180	4.055	0.803
181	4.055	0.804
182	4.055	0.807
183	4.055	0.807
184	4.07	0.807
185	4.07	0.81
186	4.07	0.811
187	4.07	0.811
188	4.085	0.812
189	4.085	0.81
190	4.085	0.814
191	4.085	0.814
192	4.085	0.814
193	4.09	0.814
194	4.09	0.814
195	4.09	0.817
196	4.09	0.817
197	4.095	0.817
198	4.1	0.817
199	4.1	0.817
