Id,Time,Longitude,Latitude,type
1000,3,4643.15074534,3785.10302081,router
1001,3,1396.93209261,1069.63684781,router
1002,3,4234.63640159,9226.00445686,router
1003,3,7720.24780426,1663.16033333,router
1004,3,4583.79824952,1926.92763658,router
1005,3,4336.05871301,1193.7135135,router
1006,3,7722.1562985,9033.88078794,router
1007,3,3626.68147687,4467.67387784,router
1008,3,6371.87936882,6415.39231256,router
1009,3,8297.09416165,6288.16738105,router
1010,3,7578.08635575,8490.42241769,router
1011,3,4390.93218087,2723.59649051,router
1012,3,4195.18417364,6310.8137896,router
1013,3,3604.23952575,5681.39858578,router
1014,3,8428.58465656,4750.30687627,router
1015,3,2348.23620542,1721.21499578,router
1016,3,6703.95051733,2003.77888313,router
1017,3,4988.50663612,5047.2750734,router
1018,3,6463.66548358,8194.78037327,router
1019,3,5206.76615222,7598.18799134,router
1020,3,3186.24884384,1337.12145155,router
1021,3,2678.7665957,6981.84497039,router
1022,3,8411.8710472,7151.66955445,router
1023,3,6560.03857451,3921.77466279,router
1024,3,5001.08312857,8878.18493975,router
1025,3,3746.45417487,7750.46752339,router
1026,3,5289.77241451,4054.42994138,router
1027,3,6056.02218289,5867.06808634,router
1028,3,2136.36273,7738.15250316,router
1029,3,4786.40007412,1287.40095085,router
1030,3,8672.55599959,3228.53218941,router
1031,3,2270.07816719,7848.77264214,router
1032,3,2229.90788621,2130.18491292,router
1033,3,3067.82873467,5561.40563595,router
1034,3,7787.74817759,5445.54427792,router
1035,3,3242.61689026,3143.3273499,router
1036,3,2937.06465069,2145.49322061,router
1037,3,5134.29203682,2773.94153393,router
1038,3,2734.35409112,6040.33699008,router
1039,3,1517.98192957,2204.32652435,router
1040,3,3019.6287416,3514.34678059,router
1041,3,8946.08425627,5939.08724952,router
1042,3,3902.14606772,1916.20858158,router
1043,3,2534.04807394,3649.07810498,router
1044,3,1186.19071109,6651.46331221,router
1045,3,7818.92232116,1046.15116143,router
1046,3,2890.92208272,5033.5206033,router
1047,3,5538.40717087,4797.52474465,router
1048,3,3843.254039,2984.17862104,router
1049,3,1877.61221638,3931.67055388,router
1050,3,8246.6814948,5578.039045,router
1051,3,734.486955135,6935.03324416,router
1052,3,3465.44212316,3701.24156848,router
1053,3,5782.37825252,1090.64601632,router
1054,3,7730.85209676,5542.24157409,router
1055,3,7111.18739439,6262.47210657,router
1056,3,8914.9796483,8510.55885783,router
1057,3,3957.66505854,7508.6720001,router
1058,3,2259.84929178,7593.94085927,router
1059,3,1977.92096565,2452.47053666,router
1060,3,7835.67797448,7758.69324869,router
1061,3,2741.64714599,5633.24131898,router
1062,3,7269.34495696,2856.7166877,router
1063,3,6380.6512704,4779.31495258,router
1064,3,5899.99596503,1823.53616238,router
1065,3,7394.57608702,6488.55101943,router
1066,3,5783.025551,2793.97780891,router
1067,3,4631.78967647,4396.58729897,router
1068,3,7271.90415149,7490.17373882,router
1069,3,2029.41271649,3065.62471746,router
1070,3,6899.03709443,4361.05834603,router
1071,3,9100.01095046,4524.91115353,router
1072,3,6190.18055787,4243.28202209,router
1073,3,1163.93635701,1495.38501024,router
1074,3,6438.18135595,5682.83409176,router
1075,3,1540.82389905,7252.30105528,router
1076,3,5975.11602393,4057.97985624,router
1077,3,1660.21448895,3069.0774287,router
1078,3,2382.33499411,4352.25827816,router
1079,3,1572.94661483,8533.26134111,router
1080,3,7640.5028002,6117.8885677,router
1081,3,5294.59574029,8033.36148828,router
1082,3,8460.53887669,7709.55920426,router
1083,3,2017.2797275,1864.44696807,router
1084,3,3174.99401595,6454.93700895,router
1085,3,2373.346801,9649.44564348,router
1086,3,8306.04126453,2682.31529158,router
